iter	Passed	Remaining
595	3655	8610
596	3660	8601
597	3670	8605
598	3678	8602
599	3682	8592
600	3690	8589
601	3698	8589
602	3705	8585
603	3709	8573
604	3712	8560
605	3721	8559
606	3729	8557
607	3736	8554
608	3741	8545
609	3746	8536
610	3749	8524
611	3753	8513
612	3761	8509
613	3766	8501
614	3772	8494
615	3777	8486
616	3783	8480
617	3791	8478
618	3798	8473
619	3805	8470
620	3813	8469
621	3820	8463
622	3828	8461
623	3832	8450
624	3839	8446
625	3845	8441
626	3854	8441
627	3861	8437
628	3866	8427
629	3870	8415
630	3876	8411
631	3883	8406
632	3889	8399
633	3895	8393
634	3899	8382
635	3906	8377
636	3912	8371
637	3922	8372
638	3928	8368
639	3936	8364
640	3941	8355
641	3947	8350
642	3953	8343
643	3959	8336
644	3964	8328
645	3968	8318
646	3975	8313
647	3978	8301
648	3985	8295
649	3990	8288
650	3997	8282
651	4001	8273
652	4006	8264
653	4011	8256
654	4019	8253
655	4025	8247
656	4032	8242
657	4038	8236
658	4043	8228
659	4049	8221
660	4054	8213
661	4061	8209
662	4068	8204
663	4074	8197
664	4077	8185
665	4084	8182
666	4091	8175
667	4098	8172
668	4104	8166
669	4109	8158
670	4115	8151
671	4121	8145
672	4129	8141
673	4132	8130
674	4138	8122
675	4147	8123
676	4156	8121
677	4163	8117
678	4167	8107
679	4174	8102
680	4180	8097
681	4187	8092
682	4193	8085
683	4199	8080
684	4205	8073
685	4210	8064
686	4216	8057
687	4219	8047
688	4226	8042
689	4233	8037
690	4238	8028
691	4241	8018
692	4246	8008
693	4250	7998
694	4253	7987
695	4259	7980
696	4264	7972
697	4268	7962
698	4274	7955
699	4279	7947
700	4286	7942
701	4289	7932
702	4294	7923
703	4301	7918
704	4305	7908
705	4313	7906
706	4319	7900
707	4323	7889
708	4329	7884
709	4335	7878
710	4340	7869
711	4346	7863
712	4350	7852
713	4356	7846
714	4360	7836
715	4364	7826
716	4369	7819
717	4373	7808
718	4377	7798
719	4381	7789
720	4384	7778
721	4389	7769
722	4392	7759
723	4399	7753
724	4409	7753
725	4413	7744
726	4419	7738
727	4425	7732
728	4432	7727
729	4439	7723
730	4444	7715
731	4450	7708
732	4458	7706
733	4463	7699
734	4471	7695
735	4478	7691
736	4486	7688
737	4489	7677
738	4496	7673
739	4500	7662
740	4507	7658
741	4513	7652
742	4520	7647
743	4526	7641
744	4533	7637
745	4537	7627
746	4543	7621
747	4550	7616
748	4555	7608
749	4561	7603
750	4566	7593
751	4572	7588
752	4580	7585
753	4584	7575
754	4588	7566
755	4594	7560
756	4599	7552
757	4606	7547
758	4611	7540
759	4617	7533
760	4621	7524
761	4624	7513
762	4628	7504
763	4632	7493
764	4635	7483
765	4639	7474
766	4644	7466
767	4651	7461
768	4657	7456
769	4664	7450
770	4671	7446
771	4677	7440
772	4683	7433
773	4689	7428
774	4695	7422
775	4701	7416
776	4708	7411
777	4714	7405
778	4720	7398
779	4726	7393
780	4731	7385
781	4737	7378
782	4742	7371
783	4749	7366
784	4756	7361
785	4761	7354
786	4766	7346
787	4770	7337
788	4779	7335
789	4785	7329
790	4790	7321
791	4796	7316
792	4803	7311
793	4809	7305
794	4816	7300
795	4822	7294
796	4828	7287
797	4833	7280
798	4837	7271
799	4843	7265
800	4847	7255
801	4853	7249
802	4857	7240
803	4861	7231
804	4866	7223
